ледяной водичкой	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['водичка', {'твор,ед'}]]
ледяные просторы	[['ледяной', {'вин,мн', 'им,мн'}], ['простор', {'вин,мн', 'им,мн'}]]
ледяной замок	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['замок', {'вин,ед', 'им,ед'}]]
ледяной корки	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['корка', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяных зерен	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['зерно', {'род,мн'}]]
ледяной улыбки	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['улыбка', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяными дождями	[['ледяной', {'твор,мн'}], ['дождь', {'твор,мн'}]]
ледяной осколок	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['осколок', {'вин,ед', 'им,ед'}]]
ледяной крошки	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['крошка', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяная полоса	[['ледяной', {'им,ед'}], ['полоса', {'им,ед'}]]
ледяной крупой	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['крупа', {'твор,ед'}]]
ледяная бритва	[['ледяной', {'им,ед'}], ['бритва', {'им,ед'}]]
ледяных глаз	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['глаз', {'род,мн', 'вин,ед', 'им,ед'}]]
ледяных плотин	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['плотина', {'род,мн'}]]
ледяным сквозняком	[['ледяной', {'дат,мн', 'твор,ед'}], ['сквозняк', {'твор,ед'}]]
ледяных островов	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['остров', {'род,мн'}]]
ледяная корка	[['ледяной', {'им,ед'}], ['корка', {'им,ед'}]]
ледяной континент	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['континент', {'вин,ед', 'им,ед'}]]
ледяного щита	[['ледяной', {'род,ед', 'вин,ед'}], ['щит', {'род,ед'}]]
ледяным кернам	[['ледяной', {'дат,мн', 'твор,ед'}], ['керн', {'дат,мн'}]]
ледяном гроте	[['ледяной', {'пр,ед'}], ['грот', {'пр,ед'}]]
ледяные закраины	[['ледяной', {'вин,мн', 'им,мн'}], ['закраина', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяной барьер	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['барьер', {'вин,ед', 'им,ед'}]]
ледяном массиве	[['ледяной', {'пр,ед'}], ['массив', {'пр,ед'}]]
ледяной стихией	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['стихия', {'твор,ед'}]]
ледяному клину	[['ледяной', {'дат,ед'}], ['клин', {'дат,ед'}]]
ледяных слоев	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['слой', {'род,мн'}]]
ледяных обрывах	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['обрыв', {'пр,мн'}]]
ледяная купель	[['ледяной', {'им,ед'}], ['купель', {'вин,ед', 'им,ед'}]]
ледяная трасса	[['ледяной', {'им,ед'}], ['трасса', {'им,ед'}]]
ледяной пустыни	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['пустыня', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяном просторе	[['ледяной', {'пр,ед'}], ['простор', {'пр,ед'}]]
ледяных громад	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['громада', {'род,мн'}]]
ледяным ужасом	[['ледяной', {'дат,мн', 'твор,ед'}], ['ужас', {'твор,ед'}]]
ледяных вершин	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['вершина', {'род,мн'}]]
ледяной массив	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['массив', {'вин,ед', 'им,ед'}]]
ледяных горах	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['гора', {'пр,мн'}]]
ледяные объятия	[['ледяной', {'вин,мн', 'им,мн'}], ['объятие', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяных корок	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['корка', {'род,мн'}]]
ледяного катка	[['ледяной', {'род,ед', 'вин,ед'}], ['каток', {'род,ед'}]]
ледяные припаи	[['ледяной', {'вин,мн', 'им,мн'}], ['припай', {'вин,мн', 'им,мн'}]]
ледяной избушке	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['избушка', {'дат,ед', 'пр,ед'}]]
ледяной круг	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['круг', {'вин,ед', 'им,ед'}]]
ледяном домишке	[['ледяной', {'пр,ед'}], ['домишко', {'дат,ед', 'пр,ед'}]]
ледяной мешок	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['мешок', {'вин,ед', 'им,ед'}]]
ледяного конгломерата	[['ледяной', {'род,ед', 'вин,ед'}], ['конгломерат', {'род,ед'}]]
ледяным коридорам	[['ледяной', {'дат,мн', 'твор,ед'}], ['коридор', {'дат,мн'}]]
ледяных заберегов	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['заберег', {'род,мн'}]]
ледяную сосульку	[['ледяной', {'вин,ед'}], ['сосулька', {'вин,ед'}]]
