noun,bednyj,nischij,colour,code
илья,71,10,black,other
шлак,71,10,#52865b,stuff
представление,71,10,#900c6f,ment
выбор,71,10,black,other
вещь,71,10,#0072dd,workart/workmus/workdram/workcin/text
голос,71,10,#900c6f,ment
невежда,71,10,#1d0853,hum
цвет,71,10,#e3e33d,color
чорт,71,10,black,other
пульхерия,70,10,black,other
виктор,70,10,black,other
йод,70,10,#52865b,stuff
цензура,70,10,black,other
дитятко,70,10,black,other
палец,70,10,#a46071,tool
герцен,70,10,black,other
анюта,70,10,black,other
бок,70,10,#1d472d,space
конец,69,10,#d06a9f,be:disapp
домохозяин,69,10,#1d0853,hum
жорж,69,10,black,other
свобода,69,10,black,other
софи,69,10,black,other
плечо,69,10,#1d472d,space
ассоциация,68,10,#e96f47,org
взяткобратель,68,10,black,other
супруг,68,10,#807c99,hum:kin
лиссабонец,68,10,black,other
лукерья,68,10,black,other
инвалид,68,10,#1d0853,hum
телеграфист,68,10,#c9d7b6,hum/prof
медь,68,10,#52865b,stuff
мисс,67,10,#1d0853,hum
яша,67,10,black,other
клерк,67,10,#1d0853,hum
муму,67,10,black,other
питомец,67,10,#1d0853,hum
дввушка,67,10,black,other
барин,66,10,#1d0853,hum
сучок,66,10,black,other
олень,66,10,#ae2fd2,animal
оленевод,66,10,#c9d7b6,hum/prof
содержаше,66,10,black,other
кустарь,66,10,#c9d7b6,hum/prof
лизавета,66,10,black,other
нищета,66,10,#1d45e6,отсутствие
героиня,66,10,black,other
поль,66,10,black,other
пешеход,65,10,#1d0853,hum
паломник,65,10,#1d0853,hum
журавль,65,10,#e153b7,tool/tool:device
бегемот,65,10,#ae2fd2,animal
репертуар,65,10,black,other
молодец,64,10,#1d0853,hum
коляска,64,10,#8aa6cc,tool:transp
лоб,64,10,#1d0853,hum
обложка,64,10,black,other
морфология,64,10,black,other
натрий,64,10,#52865b,stuff
люся,64,10,black,other
мул,64,10,#ae2fd2,animal
иммигрант,63,10,#1d0853,hum
сара,63,10,black,other
варенька,63,10,black,other
мп,63,10,black,other
брахман,63,10,#1d0853,hum
ничто,63,10,#1d0853,hum
лида,63,10,black,other
парнишка,63,10,#1d0853,hum
герман,62,10,black,other
постоялец,62,10,#1d0853,hum
пчелка,62,10,black,other
дурачок,62,10,#1d0853,hum
боксит,62,10,#52865b,stuff
пьер,62,10,black,other
бес,62,10,#1d0853,hum
растение,62,10,#b14856,plant
кремнезем,62,10,#52865b,stuff
хлеб,62,10,#dbadc0,poss$
искатель,62,10,#a46071,tool
наденька,61,10,black,other
горсть,61,10,black,other
пруд,61,10,#4a9627,space/reservoir
надежда,61,10,#1d0853,hum
лариса,61,10,black,other
лили,61,10,black,other
раиса,60,10,black,other
череп,60,10,black,other
мадам,60,10,#1d0853,hum
француженка,60,10,#c9d7b6,hum/prof
хроматин,60,10,black,other
гад,59,10,#1d0853,hum
толя,59,10,black,other
тишина,59,10,#2ac574,sound/neg
писательница,59,10,black,other
происхождение,59,10,#bad880,be:appear
республика,59,10,#0ea7cc,org$/space
мотив,59,10,#900c6f,ment
композитор,59,10,#c9d7b6,hum/prof
ева,59,10,black,other
садовник,59,10,#c9d7b6,hum/prof
костюм,59,10,#344189,tool:cloth
результат,58,10,#8b5fd1,param$
клиент,58,10,#1d0853,hum
полковничек,58,10,black,other
утварь,58,10,black,other
особа,57,10,#1d0853,hum
щеголь,57,10,#1d0853,hum
воробей,57,10,#ae2fd2,animal
пилигрим,57,10,#1d0853,hum
уезд,57,10,#1d472d,space
скука,57,10,#79acaa,psych:emot
городишко,57,10,black,other
тентетников,57,10,black,other
лейба,57,10,black,other
аббат,57,10,#1d0853,hum
си,57,10,black,other
зодчий,57,10,#c9d7b6,hum/prof
светик,57,10,#1d0853,hum
радость,57,10,#e9596c,hum@$
аннушка,56,10,black,other
клаес,56,10,black,other
жанна,56,10,black,other
нелли,56,10,black,other
жан,56,10,black,other
водород,56,10,#52865b,stuff
осел,56,10,#1d1d42,hum$
мамаша,56,10,#1d0853,hum
невежество,56,10,#a1eb98,ment/neg
студентик,56,10,black,other
ника,56,10,black,other
шаль,56,10,#344189,tool:cloth
квакушка,56,10,black,other
жозеф,56,10,black,other
кузнечик,56,10,#ae2fd2,animal
хлобуев,55,10,black,other
животина,55,10,#ae2fd2,animal
тоня,55,10,#1d472d,space
городничий,55,10,#1d0853,hum
император,55,10,#1d0853,hum
сила,55,10,#3ee231,quant:max
дьяк,55,10,#1d0853,hum
пропитание,55,10,#880e41,food
спутница,55,10,black,other
матрос,55,10,#c9d7b6,hum/prof
урод,55,10,#1d0853,hum
коза,55,10,#308430,animal$
сообщество,54,10,#c2a38c,group
шлам,54,10,black,other
савушка,54,10,black,other
музыка,54,10,#c64960,sound
культура,54,10,#b14856,plant
косточка,54,10,#1d0853,hum
федотик,54,10,black,other
поэзия,54,10,black,other
вилли,54,10,black,other
спина,54,10,black,other
чехов,54,10,black,other
труп,54,10,black,other
мансарда,53,10,#27d9f5,room
наряд,53,10,#c2a38c,group
степь,53,10,#1d472d,space
стена,53,10,#d0e1ef,form/quant:max
студентка,53,10,black,other
истина,53,10,black,other
зина,53,10,black,other
рубашка,53,10,#52865b,stuff
матросик,53,10,black,other
устье,53,10,#1d472d,space
ирина,53,10,black,other
соседка,52,10,black,other
тифлисец,52,10,black,other
однодворец,52,10,#1d0853,hum
ресурс,52,10,black,other
собачонка,52,10,black,other
сестренка,52,10,#1d0853,hum
глупец,52,10,#1d0853,hum
всадник,52,10,#1d0853,hum
снегурочка,52,10,#96b85e,hum:supernat
ноженька,52,10,black,other
характер,52,10,black,other
мастеровой,52,10,#c9d7b6,hum/prof
