noun,holodnyj,ledyanoj,colour,code
яд,164,10,#c64267,stuff
чеканка,163,10,#cce0e0,impact
начало,162,10,#8b221e,asp
скамья,162,10,#ac9394,tool:furn/tool
вариант,162,10,#ac3977,text
теплушка,161,10,#e15568,constr
отделка,161,10,#cce0e0,impact
мох,161,10,#6e2bfe,plant
цыпленок,160,10,#f3a7b5,animal
змейка,159,10,#f3a7b5,animal
зарево,159,10,#6a8673,light
ожесточение,158,10,#92d10f,psych
завалка,158,10,black,other
твердение,158,10,black,other
половица,157,10,black,other
локоть,157,10,#329aa0,unit
спина,157,10,black,other
суглинок,155,10,#c64267,stuff
укоризна,155,10,black,other
прищур,154,10,#24419f,loc:body
наблюдательность,154,10,black,other
рельс,153,10,#ae0a06,tool
скамейка,153,10,#ac9394,tool:furn/tool
спинка,152,10,#ae0a06,tool
рубка,152,10,#cce0e0,impact
ласка,152,10,#f3a7b5,animal
поезд,152,10,#522c9f,tool:transp
школа,151,10,#1d897d,org
вокзал,150,10,#e15568,constr
стиль,150,10,black,other
остаток,149,10,black,other
формование,149,10,black,other
ветвь,148,10,black,other
шум,148,10,#642656,sound
промперегрев,147,10,black,other
золото,147,10,#b8a02c,hum
ветчина,146,10,#eb6eb5,stuff/food/изделие
утюг,146,10,#5be0b0,tool:device
старость,146,10,#043ba8,concr
мишень,145,10,#ae0a06,tool
изумление,145,10,#3f543e,psych:emot
отвращение,145,10,#ac8b87,psych:emot?
завивка,145,10,#cce0e0,impact
формализм,144,10,black,other
великолепие,144,10,#0e5223,внешний вид
знание,143,10,#ab3785,ment
рукоятка,143,10,#ae0a06,tool
небосклон,142,10,#f8f0e3,space
готовность,142,10,black,other
нитка,142,10,#a834b7,form
яблоко,142,10,#4c2fcc,fruit/food
контакт,142,10,#97e255,contact
лепетание,141,10,black,other
вътра,141,10,black,other
посад,141,10,#f8f0e3,space
валка,141,10,#dcab31,impact:creat
вселенная,140,10,#f8f0e3,space
европеец,139,10,#b49e62,hum:etn
щупальце,139,10,black,other
силосование,139,10,black,other
лик,139,10,#0e5223,внешний вид
галька,139,10,#c6f90b,stone
отрезок,138,10,#f8f0e3,space
лаборатория,137,10,#1d897d,org
отсвет,137,10,black,other
это,136,10,black,other
мудрец,136,10,#b8a02c,hum
убийца,136,10,#b8a02c,hum
беспощадность,136,10,black,other
черствость,135,10,black,other
дума,135,10,#1d897d,org
муза,135,10,#b8a02c,hum
ленинград,135,10,black,other
слияние,135,10,#f8f0e3,space
молекула,134,10,black,other
настороженность,134,10,black,other
упорство,133,10,#2440b4,behav
веко,133,10,black,other
невнимание,133,10,#ed7254,ment/neg
внешность,133,10,#0e5223,внешний вид
просинь,132,10,#2064ed,color
чернота,132,10,black,other
мина,131,10,#ae0a06,tool
лавка,130,10,#c615ad,org/constr
бездушие,130,10,black,other
печаль,130,10,#3f543e,psych:emot
история,129,10,#ac3977,text
скептик,129,10,#b8a02c,hum
электролит,129,10,#c64267,stuff
остроумие,128,10,#ab3785,ment
гелий,128,10,#c64267,stuff
песенка,128,10,black,other
прошлое,126,10,#5dd3cd,time
точность,126,10,#c20f13,param
жуть,125,10,#712856,quant:max
аналитик,125,10,#056ecf,hum/prof
келья,125,10,#606b2e,room
почтительность,124,10,black,other
гостиная,124,10,#606b2e,room
яичница,124,10,#f5cf70,food/блюдо
ты,124,10,black,other
костер,123,10,#f8f0e3,space
пух,123,10,#82b7e4,hair
мастер,123,10,#b8a02c,hum
поэт,122,10,#b8a02c,hum
живопись,122,10,black,other
брикетирование,122,10,black,other
дымка,121,10,#c64267,stuff
объект,121,10,#27a431,thing
волнение,121,10,#3f543e,psych:emot
гидропрессование,121,10,black,other
дерн,120,10,black,other
нотка,120,10,black,other
отвлеченность,120,10,black,other
приклад,120,10,black,other
гостиница,119,10,#679a27,org/constr:@build
мудрость,119,10,#bebb3a,humq
пентан,119,10,black,other
скепсис,119,10,#ac8b87,psych:emot?
очистка,118,10,#caa71e,changest
безучастие,118,10,black,other
оснастка,117,10,#77df18,изменение:каузация
зонд,117,10,#e83dbc,tool/tool:device:@measur
вдавливание,117,10,black,other
блиндаж,117,10,#e15568,constr
вражда,117,10,#fa2ec2,inter
арбуз,116,10,#6e2bfe,plant
комнатушка,115,10,black,other
вечность,115,10,#14c3a1,time:period
склеп,114,10,#be32f1,room/constr
прагматизм,114,10,black,other
гнутье,114,10,black,other
диван,114,10,#eee8e0,tool:furn
клепка,113,10,#a01cbf,impact:обработка
краса,113,10,black,other
осадок,113,10,#c64267,stuff
горение,113,10,black,other
нары,113,10,#eee8e0,tool:furn
что,113,10,black,other
раскатка,113,10,black,other
полимеризация,113,10,black,other
блин,113,10,#f5cf70,food/блюдо
фрагментация,113,10,black,other
пара,113,10,#bb44cd,schoolmark
разеудок,113,10,black,other
сад,112,10,#1d897d,org
тайга,112,10,#f8f0e3,space
петля,112,10,#ae0a06,tool
подземелье,112,10,#c9e1c7,room/space
приветствие,112,10,#70ab68,speech
клинок,111,10,black,other
кислород,111,10,#c64267,stuff
котел,111,10,#f8f0e3,space
автобус,111,10,#522c9f,tool:transp
отрешенность,111,10,black,other
отделение,110,10,#1d897d,org
торец,110,10,#f8f0e3,space
пистолет,110,10,#e90eee,tool:weapon
дигестия,109,10,black,other
зверство,109,10,#2440b4,behav
редуцирование,109,10,black,other
айран,109,10,black,other
выращивание,109,10,black,other
сжигание,108,10,black,other
разложение,108,10,black,other
света,107,10,black,other
измерение,107,10,#5a117c,?
платье,107,10,#3dd3f1,tool:cloth
цифра,106,10,#b4e9df,sign
перелив,106,10,#642656,sound
негодование,106,10,black,other
воображение,105,10,#ab3785,ment
резонатор,104,10,#ae0a06,tool
гроб,104,10,#ae0a06,tool
дождичек,104,10,black,other
неприступность,104,10,black,other
оруж,104,10,black,other
пасквиль,103,10,#ac3977,text
признание,103,10,#70ab68,speech
хлев,103,10,#606b2e,room
лазурь,103,10,#c64267,stuff
досада,102,10,#3f543e,psych:emot
энергия,102,10,black,other
клавиша,102,10,#ae0a06,tool
безучастность,102,10,black,other
интеллигенция,102,10,black,other
подполье,102,10,#c9e1c7,room/space
париж,101,10,black,other
нить,101,10,#a834b7,form
одобрение,100,10,#70ab68,speech
гарь,100,10,#f8f0e3,space
дача,100,10,#f8f0e3,space
аномалия,100,10,black,other
исполнение,99,10,black,other
кисть,98,10,#47d6af,food
отвар,98,10,#3b723b,stuff/food/liq
моделирование,98,10,black,other
косяк,98,10,black,other
змей,97,10,#b8a02c,hum
лапка,97,10,#b4e9df,sign
облик,97,10,#0e5223,внешний вид
деление,96,10,#77df18,изменение:каузация
уныние,96,10,#3f543e,psych:emot
прессовка,96,10,black,other
полынь,96,10,#6e2bfe,plant
ничто,96,10,#b8a02c,hum
мостовая,96,10,#f8f0e3,space
якутия,96,10,black,other
связывание,96,10,black,other
профилирование,95,10,black,other
теснота,94,10,#78d277,physiol:@painful
упрямство,94,10,#bebb3a,humq
вестник,93,10,#ac3977,text
маринад,93,10,#f5cf70,food/блюдо
кристаллизация,93,10,black,other
россыпь,93,10,#712856,quant:max
бессердечие,93,10,black,other
отжим,93,10,black,other
рукоять,92,10,black,other
безличность,92,10,black,other
армения,92,10,black,other
речь,92,10,#70ab68,speech
истина,91,10,black,other
кабина,91,10,black,other
недра,90,10,#f8f0e3,space
театр,90,10,#1d897d,org
сарказм,90,10,#59fcbf,speech$
посол,90,10,#b8a02c,hum
наглость,90,10,#6b35aa,behav/speech
веяние,89,10,#397993,move
старт,89,10,#f8f0e3,space
высокогорье,88,10,black,other
век,88,10,#5dd3cd,time
богиня,88,10,#b8a02c,hum
пунш,88,10,#3b723b,stuff/food/liq
пуня,87,10,black,other
осуждение,87,10,#70ab68,speech
горечь,87,10,#3f543e,psych:emot
философ,87,10,#b8a02c,hum
отчетливость,87,10,black,other
рот,86,10,#b8a02c,hum
чужбина,85,10,#f8f0e3,space
исследование,85,10,black,other
самовластие,85,10,black,other
общежитие,85,10,#fa2ec2,inter
днепр,85,10,black,other
заварка,85,10,#3b723b,stuff/food/liq
перст,85,10,black,other
небосвод,84,10,#f8f0e3,space
скважина,84,10,#f8f0e3,space
буфет,84,10,#eee8e0,tool:furn
отпор,84,10,#91a449,inter:противодействие
жаба,83,10,#20e511,disease
застенок,82,10,#f8f0e3,space
мечта,82,10,#ab3785,ment
мраморность,81,10,black,other
отстой,81,10,#c64267,stuff
обстановка,81,10,black,other
тряпка,80,10,#b8a02c,hum
этилацетат,80,10,black,other
издевка,80,10,black,other
ремень,79,10,#ae0a06,tool
раздражение,79,10,#3f543e,psych:emot
криница,79,10,black,other
лежанка,78,10,#f8f0e3,space
ломка,78,10,#3396aa,impact:destr
плеск,78,10,#642656,sound
сметана,78,10,#40186d,stuff/food
алкоголь,78,10,#3b723b,stuff/food/liq
горизонт,78,10,#f8f0e3,space
фенол,78,10,#c64267,stuff
запястье,78,10,#98664a,access
контур,77,10,#93403e,ракурс
пустырь,77,10,#f3e3f5,space/plot
агломерат,77,10,black,other
трамвай,76,10,#522c9f,tool:transp
архангельск,76,10,black,other
леность,76,10,#bebb3a,humq
чума,76,10,black,other
лязг,76,10,#8ee6e2,sound:@asp
ротик,76,10,black,other
брезгливость,75,10,black,other
индейка,75,10,#47d6af,food
жало,75,10,black,other
молоток,74,10,#b8a02c,hum
балтика,74,10,black,other
поть,74,10,black,other
таймыр,74,10,black,other
браунинг,73,10,#e90eee,tool:weapon
детство,73,10,#14c3a1,time:period
нега,73,10,black,other
сопротивление,73,10,#91a449,inter:противодействие
манера,73,10,#2440b4,behav
подливка,72,10,#b02f3d,stuff/liq
болтовня,72,10,#70ab68,speech
пейзаж,72,10,#e03665,workart
пакет,72,10,#ae0a06,tool
весть,71,10,#70ab68,speech
решительность,71,10,black,other
добавка,71,10,#c64267,stuff
свекольник,71,10,#3b723b,stuff/food/liq
гидродинамика,71,10,black,other
студень,71,10,#f5cf70,food/блюдо
нанесение,71,10,black,other
игрушка,71,10,#b8a02c,hum
настой,71,10,#b02f3d,stuff/liq
яйцо,71,10,#47d6af,food
космополит,70,10,#f3a7b5,animal
печать,70,10,#b4e9df,sign
листоотделка,70,10,black,other
дизель,70,10,#5be0b0,tool:device
шутка,70,10,#384c99,workdram
щель,70,10,#068472,space/constr
аккреция,70,10,black,other
д,69,10,black,other
недоброжелательство,69,10,black,other
парадность,69,10,black,other
передел,69,10,black,other
чопорность,69,10,black,other
сверкание,68,10,black,other
небрежность,68,10,black,other
носитель,68,10,#d1d83e,support
скоба,68,10,#6d15d0,tool:instr
констатация,68,10,black,other
бог,68,10,#edbbcb,hum:supernat
волос,68,10,#c64267,stuff
продукт,67,10,#47d6af,food
справедливость,67,10,black,other
термояд,67,10,black,other
правда,67,10,#ab3785,ment
спрут,67,10,#f286a1,hum$
профиль,67,10,#f8f0e3,space
предчувствие,67,10,#92d10f,psych
терраса,67,10,#f8f0e3,space
полоска,67,10,black,other
слог,67,10,black,other
висок,66,10,black,other
линолеум,66,10,#c64267,stuff
вареник,66,10,black,other
впечатление,66,10,#ab3785,ment
сентябрь,66,10,#5366bc,time:month
сажа,66,10,#c64267,stuff
р,66,10,black,other
передняя,65,10,#606b2e,room
парк,65,10,#1d897d,org
овес,65,10,#6e2bfe,plant
угроза,65,10,#70ab68,speech
трюм,65,10,#606b2e,room
пресса,65,10,black,other
колено,65,10,#397993,move
экструзия,64,10,black,other
финн,64,10,#b49e62,hum:etn
скобка,64,10,#ae0a06,tool
ил,64,10,#c64267,stuff
суетня,64,10,black,other
стук,63,10,#8ee6e2,sound:@asp
резонер,63,10,#b8a02c,hum
слюна,63,10,#b02f3d,stuff/liq
развалины,63,10,black,other
белье,63,10,black,other
лоно,63,10,black,other
резервуар,63,10,#ae0a06,tool
пальтишко,63,10,black,other
снежок,63,10,#ae0a06,tool
молочко,62,10,black,other
анахронизм,62,10,black,other
воин,62,10,#056ecf,hum/prof
жест,62,10,#2440b4,behav
безнадежность,62,10,black,other
поучение,62,10,#70ab68,speech
полночь,61,10,#f8f0e3,space
корпус,61,10,#1d897d,org
оценка,61,10,#bb44cd,schoolmark
внедрение,61,10,black,other
полутьма,61,10,#6a8673,light
като,61,10,black,other
вьтер,61,10,black,other
святыня,61,10,#27a431,thing
меч,61,10,#e90eee,tool:weapon
салфетка,60,10,#6728c0,linen
коварство,60,10,#bebb3a,humq
