noun,malenkij,kroshechnyj,colour,code
жилище,374,10,#178b72,constr:@build
остановка,373,10,#bcabd8,space
разногласие,373,10,black,other
канал,373,10,#a6668d,?
кувшин,372,10,#79a298,tool:dish
спор,372,10,#08fd61,speech/inter
стекло,372,10,#db9b1f,stuff
москва,372,10,black,other
конь,371,10,#a62bc2,tool
иоанн,371,10,black,other
работник,370,10,#20b153,hum/prof
шалость,370,10,#a452db,behav
ракета,369,10,#75a92c,tool:transp
план,369,10,#a03d65,aspect
залив,368,10,#1e8d3e,space/reservoir
дождик,368,10,#db9b1f,stuff
одолжение,368,10,black,other
мост,368,10,#a62bc2,tool
представление,368,10,#022343,ment
надпись,368,10,#59f0b4,text
костя,368,10,black,other
москвич,366,10,black,other
холст,366,10,#db9b1f,stuff
боль,365,10,#adcb3b,physiol
заработок,365,10,#7bd6a5,poss:приобретение
рынок,365,10,#bcabd8,space
лихорадка,365,10,#518b0e,disease
пушечка,365,10,black,other
ножик,364,10,#1f092a,tool:instr/tablesetting
философ,364,10,#e7cb93,hum
долька,362,10,black,other
рог,362,10,#5425d9,форма
лазейка,362,10,#bcabd8,space
полочка,361,10,black,other
гений,361,10,#4d9ece,hum:supernat
башня,361,10,#a406c3,constr
взрослый,361,10,#e7cb93,hum
мошка,358,10,#702dab,animal
армения,357,10,black,other
цитата,356,10,#59f0b4,text
листовка,355,10,#59f0b4,text
балерина,355,10,#20b153,hum/prof
речонка,355,10,black,other
банька,354,10,black,other
власть,354,10,black,other
пташка,353,10,#702dab,animal
ум,353,10,#e7cb93,hum
колбочка,351,10,black,other
фото,351,10,#66616f,workart
гном,349,10,#4d9ece,hum:supernat
аня,349,10,black,other
певчий,349,10,#20b153,hum/prof
жучок,348,10,#a62bc2,tool
пригорок,348,10,#bcabd8,space
объект,348,10,#a374e2,thing
д,348,10,black,other
горе,347,10,#7d7ae0,psych:emot
лес,347,10,#aceef8,form
исключение,347,10,#a6668d,?
идол,345,10,#e7cb93,hum
лепта,345,10,black,other
волчонок,345,10,#702dab,animal
аля,344,10,black,other
антология,343,10,#59f0b4,text
плод,343,10,#9a579e,результат?
крепыш,343,10,#e7cb93,hum
каторжник,342,10,#e7cb93,hum
утешение,342,10,black,other
инструмент,342,10,#465a52,tool:mus
лужин,341,10,black,other
мелочь,341,10,black,other
полотно,341,10,#66616f,workart
шутка,341,10,#58ae77,workdram
красавица,341,10,black,other
смерч,340,10,#462f02,weather
черт,340,10,#e7cb93,hum
ворота,340,10,#a406c3,constr
песня,339,10,#74b107,sound
досада,339,10,#7d7ae0,psych:emot
монетка,338,10,black,other
платформа,338,10,#bcabd8,space
рыцарь,337,10,#e7cb93,hum
пони,337,10,#702dab,animal
вулкан,337,10,#bcabd8,space
топор,337,10,#4277c6,tool:instr
тетрадь,336,10,#a374e2,thing
игорь,335,10,black,other
конус,335,10,#aceef8,form
рачок,335,10,#702dab,animal
европа,334,10,black,other
ведерко,334,10,black,other
старуха,334,10,#e7cb93,hum
источник,333,10,#b2c94f,tool:device:@light
могилка,333,10,black,other
полковник,332,10,#e1d653,hum/armpos
добавление,332,10,#cb7097,изменение:каузация
заметочка,332,10,black,other
джон,331,10,black,other
котелок,331,10,#b4ff8d,tool:cloth
американец,330,10,#5e0ab7,hum:etn
бистро,330,10,#d77d8b,org
чаша,330,10,#92c3fe,space/form
баня,329,10,#8ebdf4,org/constr:@build
растеньице,329,10,black,other
тюрьма,328,10,#a406c3,constr
крупинка,328,10,black,other
лопаточка,328,10,black,other
